device,useragent
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 7_6_8; like Mac OS X) AppleWebKit/534.49 (KHTML, like Gecko) Chrome/48.0.1278.250 Mobile Safari/537.1"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_7_4) AppleWebKit/602.27 (KHTML, like Gecko) Chrome/54.0.1913.367 Safari/535"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_1_9; en-US) AppleWebKit/536.45 (KHTML, like Gecko) Chrome/51.0.1385.399 Safari/537"
firefox,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20100101 Firefox/64.9
edge,"Mozilla/5.0 (Windows; Windows NT 10.2;; en-US) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/50.0.2500.262 Safari/537.5 Edge/9.35395"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_9; like Mac OS X) AppleWebKit/601.37 (KHTML, like Gecko) Chrome/49.0.2162.283 Mobile Safari/536.1"
edge,"Mozilla/5.0 (Windows NT 10.5; WOW64; en-US) AppleWebKit/534.6 (KHTML, like Gecko) Chrome/49.0.2004.237 Safari/601.0 Edge/15.65737"
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.1; x64; en-US Trident/5.0)
linux,Mozilla/5.0 (Linux x86_64) Gecko/20130401 Firefox/56.8
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.3; WOW64; en-US) Gecko/20100101 Firefox/70.7
android,"Mozilla/5.0 (Android; Android 6.0; HTC One M8 Pro Build/MRA58K) AppleWebKit/600.8 (KHTML, like Gecko) Chrome/54.0.2288.206 Mobile Safari/602.5"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_9_3) Gecko/20100101 Firefox/62.2
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_9_0; en-US) AppleWebKit/535.5 (KHTML, like Gecko) Chrome/49.0.1568.377 Safari/600"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_9; en-US) Gecko/20100101 Firefox/71.2
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; WOW64 Trident/4.0)
edge,"Mozilla/5.0 (Windows NT 10.2;; en-US) AppleWebKit/536.21 (KHTML, like Gecko) Chrome/49.0.1359.259 Safari/534.2 Edge/14.53436"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_2_9 like Mac OS X) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/51.0.2041.361 Mobile Safari/602.7"
android,"Mozilla/5.0 (Linux; U; Android 4.4; XT1035 Build/[KXB20.9|KXC21.5]) AppleWebKit/603.20 (KHTML, like Gecko) Chrome/52.0.3227.256 Mobile Safari/533.9"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2; WOW64) AppleWebKit/602.34 (KHTML, like Gecko) Chrome/55.0.3915.299 Safari/603.0 Edge/14.61298"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.2; Win64; x64) AppleWebKit/535.31 (KHTML, like Gecko) Chrome/52.0.1534.259 Safari/536"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/4.0)
android,"Mozilla/5.0 (Linux; Android 6.0; SM-G9350F Build/MMB29V) AppleWebKit/536.22 (KHTML, like Gecko) Chrome/54.0.1478.399 Mobile Safari/536.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_7; like Mac OS X) AppleWebKit/601.44 (KHTML, like Gecko) Chrome/50.0.3615.247 Mobile Safari/603.3"
mobile,"Mozilla/5.0 (Linux; Android 7.0; LG-H900 Build/NRD90M) AppleWebKit/601.38 (KHTML, like Gecko) Chrome/54.0.2391.218 Mobile Safari/537.1"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Win64; x64 Trident/4.0)
chrome,"Mozilla/5.0 (Windows NT 6.2; x64) AppleWebKit/534.3 (KHTML, like Gecko) Chrome/51.0.1717.144 Safari/537"
android,"Mozilla/5.0 (Linux; Android 5.1; SM-G935F Build/LMY47X) AppleWebKit/537.37 (KHTML, like Gecko) Chrome/50.0.1256.292 Mobile Safari/536.5"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_1; like Mac OS X) AppleWebKit/533.47 (KHTML, like Gecko) Chrome/48.0.1282.333 Mobile Safari/600.3"
windows,"Mozilla/5.0 (Windows; Windows NT 10.4; WOW64) AppleWebKit/600.40 (KHTML, like Gecko) Chrome/49.0.3409.199 Safari/602"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_3_1) AppleWebKit/601.42 (KHTML, like Gecko) Chrome/49.0.1872.169 Safari/533"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.5; Win64; x64; en-US) Gecko/20100101 Firefox/54.4
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) AppleWebKit/602.28 (KHTML, like Gecko) Chrome/48.0.1816.190 Safari/533"
chrome,"Mozilla/5.0 (Windows; Windows NT 6.0; WOW64; en-US) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/52.0.3056.216 Safari/535"
linux,"Mozilla/5.0 (Linux i546 ) AppleWebKit/534.34 (KHTML, like Gecko) Chrome/51.0.2634.191 Safari/533"
android,"Mozilla/5.0 (Android; Android 6.0; HTC One M8 Pro Build/MRA58K) AppleWebKit/603.6 (KHTML, like Gecko) Chrome/50.0.1162.366 Mobile Safari/602.6"
firefox,Mozilla/5.0 (Linux; U; Linux i663 x86_64) Gecko/20100101 Firefox/52.2
mobile,"Mozilla/5.0 (Android; Android 5.0; HTC 80:number1-2s Build/LRX22G) AppleWebKit/601.42 (KHTML, like Gecko) Chrome/47.0.2484.236 Mobile Safari/534.2"
mobile,"Mozilla/5.0 (Linux; U; Android 5.1.1; SM-G935I Build/MMB29M) AppleWebKit/601.33 (KHTML, like Gecko) Chrome/47.0.2205.372 Mobile Safari/533.0"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_0_7) AppleWebKit/603.26 (KHTML, like Gecko) Chrome/53.0.3120.334 Safari/535"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_4_8; like Mac OS X) AppleWebKit/533.46 (KHTML, like Gecko) Chrome/52.0.2237.175 Mobile Safari/600.2"
firefox,Mozilla/5.0 (Windows; Windows NT 10.3; WOW64) Gecko/20130401 Firefox/66.5
chrome,"Mozilla/5.0 (Windows NT 6.2; x64) AppleWebKit/601.8 (KHTML, like Gecko) Chrome/48.0.3972.276 Safari/600"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; x64 Trident/4.0)
chrome,"Mozilla/5.0 (Windows NT 6.3; x64) AppleWebKit/601.42 (KHTML, like Gecko) Chrome/47.0.3746.185 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_2; like Mac OS X) AppleWebKit/537.10 (KHTML, like Gecko) Chrome/49.0.3622.247 Mobile Safari/537.2"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_1_8; like Mac OS X) AppleWebKit/602.24 (KHTML, like Gecko) Chrome/51.0.1275.366 Mobile Safari/534.9"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.3;) AppleWebKit/535.34 (KHTML, like Gecko) Chrome/54.0.3387.333 Safari/602.5 Edge/10.87469"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; Win64; x64; en-US) AppleWebKit/601.29 (KHTML, like Gecko) Chrome/48.0.2205.222 Safari/534.1 Edge/16.91247"
android,"Mozilla/5.0 (Linux; Android 5.0.2; HTC [M8|M9|M8 Pro Build/LRX22G) AppleWebKit/533.43 (KHTML, like Gecko) Chrome/48.0.2035.128 Mobile Safari/534.1"
firefox,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/73.3
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Pixel XL Build/NRD90M) AppleWebKit/536.48 (KHTML, like Gecko) Chrome/55.0.1086.239 Mobile Safari/603.8"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.2;; en-US Trident/4.0)
firefox,Mozilla/5.0 (Windows NT 10.3; Win64; x64) Gecko/20100101 Firefox/58.8
windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/603.28 (KHTML, like Gecko) Chrome/50.0.1317.371 Safari/535.1 Edge/8.83750"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_2_4; en-US) AppleWebKit/535.5 (KHTML, like Gecko) Chrome/54.0.1278.185 Safari/602"
firefox,Mozilla/5.0 (Windows; Windows NT 6.1; Win64; x64) Gecko/20130401 Firefox/68.8
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; WOW64) AppleWebKit/535.35 (KHTML, like Gecko) Chrome/53.0.1305.366 Safari/602.2 Edge/14.30509"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; x64) AppleWebKit/601.14 (KHTML, like Gecko) Chrome/55.0.2985.127 Safari/603.4 Edge/15.40398"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_3; like Mac OS X) AppleWebKit/603.10 (KHTML, like Gecko) Chrome/50.0.2990.228 Mobile Safari/603.6"
mobile,"Mozilla/5.0 (Linux; Android 4.4.1; Google Nexus 6 Build/KOT49H) AppleWebKit/600.20 (KHTML, like Gecko) Chrome/48.0.3021.227 Mobile Safari/601.7"
linux,Mozilla/5.0 (Linux i554 x86_64; en-US) Gecko/20100101 Firefox/71.6
mobile,"Mozilla/5.0 (Android; Android 7.0; LG-H900 Build/NRD90C) AppleWebKit/536.41 (KHTML, like Gecko) Chrome/48.0.1456.205 Mobile Safari/600.4"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6; en-US) AppleWebKit/537.16 (KHTML, like Gecko) Chrome/49.0.2322.151 Safari/603"
android,"Mozilla/5.0 (Linux; Android 7.1; Xperia Build/NDE63X) AppleWebKit/537.34 (KHTML, like Gecko) Chrome/48.0.2069.322 Mobile Safari/533.0"
android,"Mozilla/5.0 (Linux; Android 5.1; Nexus 5 Build/LRX22C) AppleWebKit/600.22 (KHTML, like Gecko) Chrome/54.0.2343.382 Mobile Safari/533.1"
mobile,"Mozilla/5.0 (Android; Android 7.1; Xperia Build/NDE63X) AppleWebKit/535.27 (KHTML, like Gecko) Chrome/54.0.1706.183 Mobile Safari/534.5"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_2_7; en-US) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/52.0.1263.174 Safari/533"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.0; Trident/6.0)
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/537.3 (KHTML, like Gecko) Chrome/51.0.1102.296 Safari/600"
mobile,"Mozilla/5.0 (Linux; Android 5.1; MOTO G Build/LPD23) AppleWebKit/601.17 (KHTML, like Gecko) Chrome/52.0.3383.301 Mobile Safari/537.8"
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20130401 Firefox/53.0
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_1_0) AppleWebKit/602.26 (KHTML, like Gecko) Chrome/47.0.2473.162 Safari/533"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_9_7 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/51.0.1272.125 Mobile Safari/535.2"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_1_2; en-US) AppleWebKit/534.38 (KHTML, like Gecko) Chrome/48.0.1579.258 Safari/601"
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/59.5
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.1;; en-US Trident/7.0)
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 10.0; Win64; x64 Trident/7.0)
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_4; like Mac OS X) AppleWebKit/602.46 (KHTML, like Gecko) Chrome/50.0.3280.152 Mobile Safari/535.5"
linux,"Mozilla/5.0 (U; Linux i561 ) AppleWebKit/603.31 (KHTML, like Gecko) Chrome/53.0.3837.108 Safari/601"
windows,"Mozilla/5.0 (Windows; Windows NT 10.1;) AppleWebKit/537.29 (KHTML, like Gecko) Chrome/49.0.3990.308 Safari/536"
windows,"Mozilla/5.0 (Windows NT 10.5; x64) AppleWebKit/534.40 (KHTML, like Gecko) Chrome/52.0.2491.272 Safari/536.3 Edge/14.92610"
android,"Mozilla/5.0 (Android; Android 4.4; XT1042 Build/[KXB20.9|KXC21.5]) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.3854.330 Mobile Safari/603.1"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_9_1) Gecko/20130401 Firefox/70.6
linux,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20100101 Firefox/50.2
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.1; Win64; x64; en-US Trident/7.0)
firefox,Mozilla/5.0 (Windows NT 10.4;; en-US) Gecko/20130401 Firefox/56.9
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_4) Gecko/20100101 Firefox/53.4
linux,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/535.14 (KHTML, like Gecko) Chrome/49.0.1954.244 Safari/603"
android,"Mozilla/5.0 (Android; Android 6.0.1; HTC One_M8 Pro Build/MRA58K) AppleWebKit/537.33 (KHTML, like Gecko) Chrome/48.0.1092.120 Mobile Safari/535.4"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Win64; x64; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows NT 10.5; WOW64) AppleWebKit/602.45 (KHTML, like Gecko) Chrome/52.0.2906.237 Safari/535.9 Edge/9.46360"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_8_1; like Mac OS X) AppleWebKit/601.14 (KHTML, like Gecko) Chrome/55.0.2310.189 Mobile Safari/533.2"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_5; like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Chrome/49.0.2390.214 Mobile Safari/535.3"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_3) Gecko/20100101 Firefox/45.0
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_5_5 like Mac OS X) AppleWebKit/534.37 (KHTML, like Gecko) Chrome/52.0.1669.171 Mobile Safari/534.3"
firefox,Mozilla/5.0 (Windows NT 10.2; Win64; x64) Gecko/20100101 Firefox/45.5
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_0_5; en-US) AppleWebKit/537.44 (KHTML, like Gecko) Chrome/50.0.2270.122 Safari/600"
firefox,Mozilla/5.0 (Linux; U; Linux i555 x86_64; en-US) Gecko/20100101 Firefox/68.8
mobile,"Mozilla/5.0 (Android; Android 4.4; IQ4504 Quad Build/KOT49H) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/54.0.3905.119 Mobile Safari/602.0"
android,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-G93508 Build/LMY47X) AppleWebKit/536.24 (KHTML, like Gecko) Chrome/49.0.2563.243 Mobile Safari/603.5"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64 Trident/5.0)
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_9_4; en-US) AppleWebKit/536.42 (KHTML, like Gecko) Chrome/51.0.1059.378 Safari/536"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_3_1 like Mac OS X) AppleWebKit/536.35 (KHTML, like Gecko) Chrome/48.0.3972.138 Mobile Safari/600.9"
linux,Mozilla/5.0 (U; Linux i646 x86_64) Gecko/20100101 Firefox/63.0
mobile,"Mozilla/5.0 (Linux; U; Android 5.1; MOTOROLA MOTO XT1562 Build/LMY47Z) AppleWebKit/536.32 (KHTML, like Gecko) Chrome/51.0.1986.191 Mobile Safari/535.6"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_3; like Mac OS X) AppleWebKit/603.36 (KHTML, like Gecko) Chrome/53.0.3014.363 Mobile Safari/537.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_9_0; like Mac OS X) AppleWebKit/601.19 (KHTML, like Gecko) Chrome/50.0.1130.222 Mobile Safari/534.9"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 10.1; Win64; x64; en-US Trident/6.0)
linux,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/65.7
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_3_0) Gecko/20100101 Firefox/63.2
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1; like Mac OS X) AppleWebKit/602.27 (KHTML, like Gecko) Chrome/51.0.3721.338 Mobile Safari/536.9"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Win64; x64; en-US Trident/5.0)
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_0; like Mac OS X) AppleWebKit/536.38 (KHTML, like Gecko) Chrome/53.0.1543.204 Mobile Safari/602.5"
mobile,"Mozilla/5.0 (Android; Android 5.1.1; MOTOROLA MOTO X PURE XT1575 Build/LPC23) AppleWebKit/600.30 (KHTML, like Gecko) Chrome/52.0.2159.208 Mobile Safari/602.5"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_9_4; like Mac OS X) AppleWebKit/602.35 (KHTML, like Gecko) Chrome/52.0.1479.264 Mobile Safari/533.8"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0_5; like Mac OS X) AppleWebKit/535.16 (KHTML, like Gecko) Chrome/47.0.3596.120 Mobile Safari/600.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_4_9; like Mac OS X) AppleWebKit/536.21 (KHTML, like Gecko) Chrome/50.0.3920.209 Mobile Safari/601.8"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_6_7) Gecko/20100101 Firefox/66.8
edge,"Mozilla/5.0 (Windows NT 10.4;; en-US) AppleWebKit/601.49 (KHTML, like Gecko) Chrome/55.0.1534.118 Safari/600.6 Edge/13.72343"
android,"Mozilla/5.0 (Linux; U; Android 5.0.1; LG-D331 Build/LRX22G) AppleWebKit/534.36 (KHTML, like Gecko) Chrome/52.0.2154.301 Mobile Safari/602.7"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.3; x64 Trident/6.0)
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_6_7; like Mac OS X) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/51.0.1030.395 Mobile Safari/537.4"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_1) Gecko/20100101 Firefox/60.0
windows,"Mozilla/5.0 (Windows; Windows NT 6.1; Win64; x64; en-US) AppleWebKit/600.30 (KHTML, like Gecko) Chrome/47.0.3361.345 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_7_3; like Mac OS X) AppleWebKit/600.4 (KHTML, like Gecko) Chrome/52.0.3909.163 Mobile Safari/537.5"
edge,"Mozilla/5.0 (Windows NT 10.5; x64; en-US) AppleWebKit/603.35 (KHTML, like Gecko) Chrome/52.0.3052.120 Safari/537.1 Edge/9.46367"
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 10.3; x64; en-US Trident/7.0)
chrome,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/534.4 (KHTML, like Gecko) Chrome/49.0.1339.336 Safari/602"
windows,Mozilla/5.0 (Windows; Windows NT 6.3; x64) Gecko/20130401 Firefox/46.0
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.5; x64) AppleWebKit/533.27 (KHTML, like Gecko) Chrome/50.0.3370.184 Safari/534"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3_9; like Mac OS X) AppleWebKit/601.30 (KHTML, like Gecko) Chrome/49.0.3047.123 Mobile Safari/536.1"
linux,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/535.34 (KHTML, like Gecko) Chrome/52.0.3948.358 Safari/533"
chrome,"Mozilla/5.0 (U; Linux i666 x86_64) AppleWebKit/533.49 (KHTML, like Gecko) Chrome/54.0.1462.109 Safari/603"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_7; en-US) AppleWebKit/600.30 (KHTML, like Gecko) Chrome/47.0.2738.212 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_7_3; like Mac OS X) AppleWebKit/535.18 (KHTML, like Gecko) Chrome/55.0.3002.383 Mobile Safari/601.8"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0; en-US) AppleWebKit/534.29 (KHTML, like Gecko) Chrome/55.0.1634.158 Safari/535"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.2; Win64; x64; en-US Trident/4.0)
firefox,Mozilla/5.0 (Linux; U; Linux i556 x86_64; en-US) Gecko/20100101 Firefox/53.8
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_0_9) Gecko/20100101 Firefox/67.1
linux,"Mozilla/5.0 (Linux x86_64) AppleWebKit/603.47 (KHTML, like Gecko) Chrome/55.0.3694.322 Safari/600"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_5; like Mac OS X) AppleWebKit/536.39 (KHTML, like Gecko) Chrome/52.0.2556.303 Mobile Safari/602.1"
mobile,"Mozilla/5.0 (Linux; U; Android 4.4.1; SM-T530 Build/KTU84P) AppleWebKit/535.42 (KHTML, like Gecko) Chrome/52.0.3443.386 Mobile Safari/600.3"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5;) AppleWebKit/535.26 (KHTML, like Gecko) Chrome/55.0.3154.283 Safari/603.2 Edge/12.53653"
windows,Mozilla/5.0 (Windows; Windows NT 6.2; x64; en-US) Gecko/20130401 Firefox/68.1
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.1; x64) AppleWebKit/602.8 (KHTML, like Gecko) Chrome/52.0.3220.203 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_9_1; like Mac OS X) AppleWebKit/533.46 (KHTML, like Gecko) Chrome/51.0.1991.292 Mobile Safari/535.1"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_1; like Mac OS X) AppleWebKit/601.49 (KHTML, like Gecko) Chrome/47.0.2087.133 Mobile Safari/533.5"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_0_9; en-US) AppleWebKit/537.20 (KHTML, like Gecko) Chrome/54.0.2144.100 Safari/600"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_3_6) AppleWebKit/537.12 (KHTML, like Gecko) Chrome/50.0.2375.330 Safari/536"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_9_0; en-US) Gecko/20100101 Firefox/59.0
android,"Mozilla/5.0 (Android; Android 7.0; Xperia V Build/NDE63X) AppleWebKit/603.21 (KHTML, like Gecko) Chrome/50.0.2386.142 Mobile Safari/601.6"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.3;; en-US Trident/4.0)
chrome,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/536.49 (KHTML, like Gecko) Chrome/50.0.2677.362 Safari/600"
android,"Mozilla/5.0 (Linux; U; Android 6.0.1; Nexus 5P Build/MDB08I) AppleWebKit/603.8 (KHTML, like Gecko) Chrome/54.0.3354.119 Mobile Safari/600.1"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4;; en-US) AppleWebKit/536.37 (KHTML, like Gecko) Chrome/52.0.3621.128 Safari/534.4 Edge/10.95333"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_9_7 like Mac OS X) AppleWebKit/534.23 (KHTML, like Gecko) Chrome/50.0.1097.387 Mobile Safari/602.3"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/69.6
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_2) AppleWebKit/536.48 (KHTML, like Gecko) Chrome/51.0.2849.122 Safari/603"
firefox,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/53.7
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_4_2; like Mac OS X) AppleWebKit/600.5 (KHTML, like Gecko) Chrome/49.0.1538.155 Mobile Safari/600.3"
edge,"Mozilla/5.0 (Windows NT 10.4;) AppleWebKit/601.50 (KHTML, like Gecko) Chrome/50.0.1478.108 Safari/603.7 Edge/8.38266"
linux,Mozilla/5.0 (Linux; U; Linux i665 ; en-US) Gecko/20100101 Firefox/71.9
linux,"Mozilla/5.0 (Linux; U; Linux i551 ) AppleWebKit/602.44 (KHTML, like Gecko) Chrome/53.0.1570.244 Safari/536"
android,"Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9500 Build/KTU84P) AppleWebKit/600.23 (KHTML, like Gecko) Chrome/50.0.1182.104 Mobile Safari/602.7"
linux,"Mozilla/5.0 (Linux; U; Linux i551 x86_64) AppleWebKit/533.39 (KHTML, like Gecko) Chrome/52.0.2031.119 Safari/537"
android,"Mozilla/5.0 (Linux; Android 6.0.1; HTC One801e Build/MRA58K) AppleWebKit/534.35 (KHTML, like Gecko) Chrome/52.0.1044.185 Mobile Safari/601.6"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_5_9; like Mac OS X) AppleWebKit/534.23 (KHTML, like Gecko) Chrome/49.0.2258.214 Mobile Safari/533.3"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.1; x64) AppleWebKit/602.34 (KHTML, like Gecko) Chrome/54.0.1220.303 Safari/601"
chrome,"Mozilla/5.0 (Linux; Linux i655 x86_64; en-US) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/48.0.2285.356 Safari/600"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_2_7; en-US) Gecko/20100101 Firefox/67.8
edge,"Mozilla/5.0 (Windows NT 10.4; WOW64; en-US) AppleWebKit/534.26 (KHTML, like Gecko) Chrome/55.0.3860.112 Safari/603.2 Edge/15.19851"
mobile,"Mozilla/5.0 (Linux; U; Android 7.1; LG-H920 Build/NRD90C) AppleWebKit/600.21 (KHTML, like Gecko) Chrome/53.0.3467.187 Mobile Safari/600.0"
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Nexus 5X Build/NPD90G) AppleWebKit/536.32 (KHTML, like Gecko) Chrome/52.0.3429.360 Mobile Safari/537.4"
android,"Mozilla/5.0 (Linux; Android 7.1.1; Xperia V Build/NDE63X) AppleWebKit/535.34 (KHTML, like Gecko) Chrome/51.0.1131.379 Mobile Safari/601.3"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; x64 Trident/4.0)
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_3_8) Gecko/20100101 Firefox/65.5
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.2; x64 Trident/7.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_5_9; like Mac OS X) AppleWebKit/602.27 (KHTML, like Gecko) Chrome/53.0.2241.319 Mobile Safari/536.0"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_7; en-US) AppleWebKit/534.40 (KHTML, like Gecko) Chrome/54.0.3650.155 Safari/602"
