device,useragent
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_3_2 like Mac OS X) AppleWebKit/600.28 (KHTML, like Gecko) Chrome/48.0.3210.112 Mobile Safari/535.9"
edge,"Mozilla/5.0 (Windows NT 10.5;; en-US) AppleWebKit/601.40 (KHTML, like Gecko) Chrome/54.0.3934.287 Safari/537.7 Edge/8.93818"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_0_4; en-US) Gecko/20100101 Firefox/68.5
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/602.37 (KHTML, like Gecko) Chrome/48.0.3804.280 Safari/601"
linux,Mozilla/5.0 (Linux; U; Linux i675 x86_64; en-US) Gecko/20100101 Firefox/73.1
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_2; like Mac OS X) AppleWebKit/601.28 (KHTML, like Gecko) Chrome/55.0.2465.354 Mobile Safari/603.3"
firefox,Mozilla/5.0 (Windows NT 10.4;; en-US) Gecko/20100101 Firefox/65.9
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_9_2; like Mac OS X) AppleWebKit/535.44 (KHTML, like Gecko) Chrome/47.0.2324.185 Mobile Safari/533.6"
linux,"Mozilla/5.0 (Linux; Linux i682 ) AppleWebKit/602.19 (KHTML, like Gecko) Chrome/55.0.1386.171 Safari/601"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_0_9) AppleWebKit/603.3 (KHTML, like Gecko) Chrome/47.0.2991.335 Safari/535"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3; en-US) AppleWebKit/600.21 (KHTML, like Gecko) Chrome/49.0.3861.391 Safari/600"
linux,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/63.1
firefox,Mozilla/5.0 (U; Linux i550 x86_64; en-US) Gecko/20100101 Firefox/49.3
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_6; like Mac OS X) AppleWebKit/603.43 (KHTML, like Gecko) Chrome/48.0.2735.381 Mobile Safari/533.0"
linux,Mozilla/5.0 (Linux; U; Linux i646 x86_64; en-US) Gecko/20100101 Firefox/68.7
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3; WOW64 Trident/5.0)
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_7_5) Gecko/20130401 Firefox/60.3
linux,"Mozilla/5.0 (Linux; U; Linux i566 ) AppleWebKit/535.49 (KHTML, like Gecko) Chrome/51.0.3599.252 Safari/602"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_9_9; en-US) Gecko/20130401 Firefox/66.9
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_1; like Mac OS X) AppleWebKit/601.22 (KHTML, like Gecko) Chrome/49.0.1223.235 Mobile Safari/602.8"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) AppleWebKit/537.48 (KHTML, like Gecko) Chrome/51.0.1539.279 Safari/603.6 Edge/14.16332"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.3; WOW64 Trident/7.0)
chrome,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/536.45 (KHTML, like Gecko) Chrome/53.0.2058.384 Safari/601"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_7; like Mac OS X) AppleWebKit/534.14 (KHTML, like Gecko) Chrome/52.0.2422.242 Mobile Safari/602.7"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.0)
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_9_6; en-US) AppleWebKit/602.45 (KHTML, like Gecko) Chrome/50.0.1942.238 Safari/536"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.3; x64; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_6; like Mac OS X) AppleWebKit/535.20 (KHTML, like Gecko) Chrome/47.0.3814.207 Mobile Safari/602.0"
chrome,"Mozilla/5.0 (U; Linux i686 ; en-US) AppleWebKit/535.26 (KHTML, like Gecko) Chrome/47.0.2532.103 Safari/601"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_1; en-US) Gecko/20100101 Firefox/62.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_9; like Mac OS X) AppleWebKit/601.19 (KHTML, like Gecko) Chrome/55.0.2350.386 Mobile Safari/601.5"
windows,"Mozilla/5.0 (Windows NT 10.3; Win64; x64; en-US) AppleWebKit/535.6 (KHTML, like Gecko) Chrome/47.0.3889.158 Safari/534.7 Edge/8.49410"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.0; x64; en-US) Gecko/20100101 Firefox/57.1
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3; x64 Trident/5.0)
android,"Mozilla/5.0 (Linux; Android 4.4.1; LG Optimus G Build/KRT16M) AppleWebKit/602.40 (KHTML, like Gecko) Chrome/49.0.3391.327 Mobile Safari/535.4"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_6_3) AppleWebKit/534.6 (KHTML, like Gecko) Chrome/47.0.1327.241 Safari/603"
windows,"Mozilla/5.0 (Windows; Windows NT 10.3; WOW64) AppleWebKit/600.47 (KHTML, like Gecko) Chrome/49.0.1280.201 Safari/602"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.3; x64 Trident/4.0)
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/51.0.2818.158 Safari/535"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; WOW64; en-US) AppleWebKit/601.1 (KHTML, like Gecko) Chrome/55.0.3951.166 Safari/533.3 Edge/11.96994"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_9) AppleWebKit/600.20 (KHTML, like Gecko) Chrome/48.0.3144.350 Safari/533"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_3_2; en-US) Gecko/20130401 Firefox/71.8
mobile,"Mozilla/5.0 (Android; Android 6.0.1; SAMSUNG SM-D925F Build/MDB08L) AppleWebKit/535.30 (KHTML, like Gecko) Chrome/54.0.2021.272 Mobile Safari/602.8"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_3_7; en-US) Gecko/20100101 Firefox/58.3
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_1) AppleWebKit/600.7 (KHTML, like Gecko) Chrome/50.0.3157.119 Safari/535"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_7_2) Gecko/20130401 Firefox/65.7
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; WOW64) AppleWebKit/536.12 (KHTML, like Gecko) Chrome/54.0.3652.227 Safari/603.9 Edge/16.65363"
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.3; x64 Trident/7.0)
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_7_9) AppleWebKit/602.42 (KHTML, like Gecko) Chrome/50.0.2300.110 Safari/600"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_5; en-US) Gecko/20100101 Firefox/74.1
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_3_3; like Mac OS X) AppleWebKit/537.6 (KHTML, like Gecko) Chrome/52.0.1253.358 Mobile Safari/533.4"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_1_7; en-US) Gecko/20100101 Firefox/46.8
mobile,"Mozilla/5.0 (Linux; U; Android 4.4.4; LG Optimus G Build/KRT16M) AppleWebKit/537.42 (KHTML, like Gecko) Chrome/54.0.1248.287 Mobile Safari/603.4"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_6; en-US) Gecko/20130401 Firefox/49.5
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5; Win64; x64; en-US) AppleWebKit/535.16 (KHTML, like Gecko) Chrome/47.0.3560.208 Safari/602.8 Edge/10.63969"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; WOW64) AppleWebKit/602.1 (KHTML, like Gecko) Chrome/50.0.3203.171 Safari/600.2 Edge/13.53385"
android,"Mozilla/5.0 (Android; Android 6.0.1; SM-D9258 Build/MDB08L) AppleWebKit/536.14 (KHTML, like Gecko) Chrome/47.0.2877.228 Mobile Safari/603.5"
android,"Mozilla/5.0 (Linux; U; Android 4.3.1; GT-I9200 Build/JDQ39) AppleWebKit/601.49 (KHTML, like Gecko) Chrome/50.0.2369.153 Mobile Safari/600.1"
edge,"Mozilla/5.0 (Windows NT 10.1; Win64; x64) AppleWebKit/603.41 (KHTML, like Gecko) Chrome/49.0.2386.195 Safari/602.5 Edge/18.86015"
android,"Mozilla/5.0 (Linux; U; Android 4.4.4; MOTOROLA MSM8960 Build/KVT49L) AppleWebKit/533.45 (KHTML, like Gecko) Chrome/52.0.3304.261 Mobile Safari/601.7"
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.3; Win64; x64 Trident/5.0)
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; x64; en-US Trident/4.0)
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.1; x64; en-US) AppleWebKit/533.43 (KHTML, like Gecko) Chrome/54.0.2106.276 Safari/534"
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; Win64; x64; en-US Trident/7.0)
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/537.37 (KHTML, like Gecko) Chrome/51.0.3198.211 Safari/536"
android,"Mozilla/5.0 (Android; Android 5.0.1; Nokia 1000 4G Build/GRK39F) AppleWebKit/603.30 (KHTML, like Gecko) Chrome/52.0.2511.256 Mobile Safari/534.6"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.5; x64) AppleWebKit/601.38 (KHTML, like Gecko) Chrome/50.0.3730.232 Safari/537"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_2) AppleWebKit/600.31 (KHTML, like Gecko) Chrome/55.0.1624.141 Safari/602"
linux,"Mozilla/5.0 (Linux x86_64) AppleWebKit/602.34 (KHTML, like Gecko) Chrome/48.0.2891.318 Safari/601"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_4; en-US) Gecko/20130401 Firefox/67.6
mobile,"Mozilla/5.0 (Linux; Android 7.1; Xperia Build/NDE63X) AppleWebKit/603.25 (KHTML, like Gecko) Chrome/50.0.1651.314 Mobile Safari/534.7"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64) AppleWebKit/533.22 (KHTML, like Gecko) Chrome/49.0.1160.244 Safari/534.3 Edge/14.68792"
linux,"Mozilla/5.0 (Linux i661 ; en-US) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/55.0.2914.292 Safari/602"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_5_1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/55.0.2972.176 Safari/533"
linux,"Mozilla/5.0 (Linux; U; Linux i553 x86_64; en-US) AppleWebKit/536.24 (KHTML, like Gecko) Chrome/50.0.1219.153 Safari/603"
linux,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/602.44 (KHTML, like Gecko) Chrome/47.0.2570.220 Safari/601"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_8_2; like Mac OS X) AppleWebKit/602.20 (KHTML, like Gecko) Chrome/53.0.3224.137 Mobile Safari/603.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_9; like Mac OS X) AppleWebKit/535.22 (KHTML, like Gecko) Chrome/54.0.2176.391 Mobile Safari/603.1"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5;; en-US) AppleWebKit/601.26 (KHTML, like Gecko) Chrome/49.0.1816.102 Safari/535.1 Edge/9.60060"
mobile,"Mozilla/5.0 (Linux; U; Android 7.0; LG-H920 Build/NRD90C) AppleWebKit/536.30 (KHTML, like Gecko) Chrome/54.0.2918.174 Mobile Safari/601.6"
linux,Mozilla/5.0 (U; Linux i561 ; en-US) Gecko/20100101 Firefox/59.1
android,"Mozilla/5.0 (Linux; Android 4.4.4; IQ4501 Quad Build/KOT49H) AppleWebKit/537.49 (KHTML, like Gecko) Chrome/49.0.2163.378 Mobile Safari/537.9"
android,"Mozilla/5.0 (Linux; Android 4.4.4; SM-T535 Build/KTU84P) AppleWebKit/535.36 (KHTML, like Gecko) Chrome/49.0.3897.356 Mobile Safari/536.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3_8; like Mac OS X) AppleWebKit/603.3 (KHTML, like Gecko) Chrome/47.0.2001.223 Mobile Safari/601.9"
android,"Mozilla/5.0 (Linux; U; Android 5.0.1; SAMSUNG SM-G490 Build/LRX22G) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/48.0.3927.304 Mobile Safari/601.1"
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/74.6
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; WOW64; en-US) AppleWebKit/601.16 (KHTML, like Gecko) Chrome/52.0.3826.387 Safari/600.1 Edge/11.15324"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_8_9; like Mac OS X) AppleWebKit/603.16 (KHTML, like Gecko) Chrome/49.0.2727.142 Mobile Safari/537.3"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64; en-US) AppleWebKit/601.6 (KHTML, like Gecko) Chrome/48.0.1580.202 Safari/601"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_2; en-US) Gecko/20100101 Firefox/72.7
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_7_4; en-US) Gecko/20130401 Firefox/47.8
mobile,"Mozilla/5.0 (Android; Android 6.0.1; HTC One0P8B2 dual sim Build/MRA58K) AppleWebKit/533.31 (KHTML, like Gecko) Chrome/55.0.1960.167 Mobile Safari/535.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_8; like Mac OS X) AppleWebKit/537.14 (KHTML, like Gecko) Chrome/51.0.1516.352 Mobile Safari/537.8"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_6) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/50.0.1840.320 Safari/602"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; x64; en-US) AppleWebKit/535.25 (KHTML, like Gecko) Chrome/50.0.1994.225 Safari/603.8 Edge/8.65082"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_0_0) AppleWebKit/601.33 (KHTML, like Gecko) Chrome/53.0.1523.344 Safari/534"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.2; Win64; x64) Gecko/20100101 Firefox/65.9
android,"Mozilla/5.0 (Android; Android 4.4.1; Elephone P4000 Build/KTU84P) AppleWebKit/536.48 (KHTML, like Gecko) Chrome/50.0.3134.120 Mobile Safari/602.4"
edge,"Mozilla/5.0 (Windows NT 10.5;; en-US) AppleWebKit/600.28 (KHTML, like Gecko) Chrome/50.0.1091.141 Safari/600.8 Edge/18.84606"
firefox,Mozilla/5.0 (U; Linux i556 ; en-US) Gecko/20100101 Firefox/45.1
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_7_8) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/48.0.1515.231 Safari/603"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20130401 Firefox/58.4
firefox,Mozilla/5.0 (Windows; Windows NT 10.3; Win64; x64) Gecko/20100101 Firefox/54.9
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5;; en-US) AppleWebKit/600.13 (KHTML, like Gecko) Chrome/48.0.3459.181 Safari/603.3 Edge/8.40571"
linux,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/68.5
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2; en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/52.0.2212.107 Safari/537"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_5_4 like Mac OS X) AppleWebKit/536.38 (KHTML, like Gecko) Chrome/49.0.1273.314 Mobile Safari/534.4"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.3; Win64; x64; en-US Trident/5.0)
android,"Mozilla/5.0 (Linux; Android 4.4.4; LG-D600 Build/KOT49H) AppleWebKit/533.9 (KHTML, like Gecko) Chrome/47.0.1917.301 Mobile Safari/535.4"
chrome,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/535.30 (KHTML, like Gecko) Chrome/48.0.3343.320 Safari/534"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.0; x64; en-US Trident/6.0)
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_4) Gecko/20100101 Firefox/68.7
windows,Mozilla/5.0 (Windows; U; Windows NT 6.1;) Gecko/20130401 Firefox/48.7
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; x64) AppleWebKit/601.49 (KHTML, like Gecko) Chrome/47.0.1315.143 Safari/603.6 Edge/18.24498"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_6) Gecko/20100101 Firefox/58.3
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.3; x64; en-US Trident/4.0)
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 10.5; Win64; x64; en-US Trident/7.0)
linux,"Mozilla/5.0 (Linux; U; Linux i684 x86_64; en-US) AppleWebKit/536.45 (KHTML, like Gecko) Chrome/51.0.2680.150 Safari/600"
firefox,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/71.8
windows,"Mozilla/5.0 (Windows NT 6.2; x64) AppleWebKit/600.16 (KHTML, like Gecko) Chrome/47.0.2463.126 Safari/537"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) AppleWebKit/603.38 (KHTML, like Gecko) Chrome/55.0.2494.240 Safari/533.5 Edge/11.78579"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_8_2; like Mac OS X) AppleWebKit/600.49 (KHTML, like Gecko) Chrome/50.0.2688.284 Mobile Safari/536.3"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_4_4) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/53.0.1414.159 Safari/536"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_5_2) AppleWebKit/533.3 (KHTML, like Gecko) Chrome/50.0.2007.350 Safari/603"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.3; Win64; x64; en-US) AppleWebKit/534.3 (KHTML, like Gecko) Chrome/49.0.1133.141 Safari/535"
windows,Mozilla/5.0 (Windows; Windows NT 6.3; WOW64) Gecko/20100101 Firefox/54.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_9_2; like Mac OS X) AppleWebKit/600.38 (KHTML, like Gecko) Chrome/53.0.3078.298 Mobile Safari/600.9"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_4_5 like Mac OS X) AppleWebKit/533.11 (KHTML, like Gecko) Chrome/47.0.3427.270 Mobile Safari/600.4"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.1; Trident/7.0)
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1; x64; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; WOW64) AppleWebKit/601.48 (KHTML, like Gecko) Chrome/55.0.3096.305 Safari/600.2 Edge/14.40826"
edge,"Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/601.27 (KHTML, like Gecko) Chrome/52.0.1610.356 Safari/535.6 Edge/8.43019"
edge,"Mozilla/5.0 (Windows NT 10.2; x64) AppleWebKit/534.25 (KHTML, like Gecko) Chrome/52.0.2606.159 Safari/601.2 Edge/11.88865"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_0_3) AppleWebKit/602.18 (KHTML, like Gecko) Chrome/48.0.2419.239 Safari/533"
windows,Mozilla/5.0 (Windows; Windows NT 10.0;; en-US) Gecko/20100101 Firefox/65.9
edge,"Mozilla/5.0 (Windows; Windows NT 10.1;) AppleWebKit/603.47 (KHTML, like Gecko) Chrome/54.0.3310.126 Safari/600.4 Edge/14.67864"
mobile,"Mozilla/5.0 (Linux; U; Android 7.1; LG-H920 Build/NRD90C) AppleWebKit/536.43 (KHTML, like Gecko) Chrome/48.0.2450.160 Mobile Safari/603.8"
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; Win64; x64; en-US) AppleWebKit/534.5 (KHTML, like Gecko) Chrome/53.0.1333.217 Safari/535.9 Edge/15.44764"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.0; x64; en-US Trident/7.0)
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/535.37 (KHTML, like Gecko) Chrome/51.0.3301.366 Safari/601"
firefox,Mozilla/5.0 (Windows; Windows NT 6.0;; en-US) Gecko/20100101 Firefox/46.6
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_6_5; en-US) AppleWebKit/602.7 (KHTML, like Gecko) Chrome/47.0.3740.277 Safari/603"
mobile,"Mozilla/5.0 (Linux; Android 4.4.1; Elephone P6000 Build/KTU84P) AppleWebKit/601.41 (KHTML, like Gecko) Chrome/53.0.2195.162 Mobile Safari/602.3"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1; Win64; x64 Trident/4.0)
linux,Mozilla/5.0 (U; Linux i670 ) Gecko/20130401 Firefox/64.5
chrome,"Mozilla/5.0 (Linux i664 ; en-US) AppleWebKit/534.4 (KHTML, like Gecko) Chrome/47.0.1619.330 Safari/534"
linux,Mozilla/5.0 (Linux; U; Linux i662 ; en-US) Gecko/20100101 Firefox/69.9
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20130401 Firefox/70.9
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_9; like Mac OS X) AppleWebKit/602.1 (KHTML, like Gecko) Chrome/54.0.3493.142 Mobile Safari/535.2"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; x64 Trident/7.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3_9; like Mac OS X) AppleWebKit/533.49 (KHTML, like Gecko) Chrome/51.0.3122.262 Mobile Safari/603.7"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_0_1) Gecko/20130401 Firefox/71.8
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_0; like Mac OS X) AppleWebKit/600.19 (KHTML, like Gecko) Chrome/51.0.3290.186 Mobile Safari/536.0"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_5_7) AppleWebKit/601.43 (KHTML, like Gecko) Chrome/52.0.2804.396 Safari/536"
chrome,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/537.16 (KHTML, like Gecko) Chrome/54.0.1587.123 Safari/535"
mobile,"Mozilla/5.0 (Linux; U; Android 5.0; Lenovo A7000-a Build/LRX21M;) AppleWebKit/533.26 (KHTML, like Gecko) Chrome/52.0.1058.383 Mobile Safari/533.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_8_8; like Mac OS X) AppleWebKit/536.20 (KHTML, like Gecko) Chrome/47.0.1970.155 Mobile Safari/536.3"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/603.7 (KHTML, like Gecko) Chrome/51.0.1841.282 Safari/602"
chrome,"Mozilla/5.0 (Windows NT 10.5; WOW64; en-US) AppleWebKit/534.41 (KHTML, like Gecko) Chrome/51.0.2328.124 Safari/603"
mobile,"Mozilla/5.0 (Android; Android 4.4.1; E:number:20-23:10 Build/24.0.B.1.34) AppleWebKit/533.17 (KHTML, like Gecko) Chrome/49.0.3522.366 Mobile Safari/536.1"
android,"Mozilla/5.0 (Android; Android 5.0.2; SM-G925I Build/LRX21T) AppleWebKit/600.5 (KHTML, like Gecko) Chrome/47.0.3556.217 Mobile Safari/601.2"
android,"Mozilla/5.0 (Android; Android 7.0; Nexus 8X Build/NPD90G) AppleWebKit/534.19 (KHTML, like Gecko) Chrome/52.0.3521.202 Mobile Safari/535.9"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_1_0) AppleWebKit/601.10 (KHTML, like Gecko) Chrome/55.0.1339.166 Safari/603"
windows,"Mozilla/5.0 (Windows; Windows NT 10.3; x64; en-US) AppleWebKit/534.25 (KHTML, like Gecko) Chrome/51.0.3956.109 Safari/602.9 Edge/8.87657"
windows,"Mozilla/5.0 (Windows NT 6.2; x64) AppleWebKit/537.10 (KHTML, like Gecko) Chrome/47.0.2433.122 Safari/601.7 Edge/16.51665"
linux,"Mozilla/5.0 (Linux i553 ; en-US) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/47.0.2494.171 Safari/603"
firefox,Mozilla/5.0 (Windows NT 6.0; WOW64) Gecko/20130401 Firefox/62.6
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) Gecko/20100101 Firefox/61.9
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; x64; en-US) AppleWebKit/535.50 (KHTML, like Gecko) Chrome/54.0.3060.350 Safari/603.3 Edge/8.40138"
android,"Mozilla/5.0 (Android; Android 6.0; HTC One0P8B2 dual sim Build/MRA58K) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/55.0.1165.333 Mobile Safari/537.4"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_7_2; en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/48.0.3573.323 Safari/536"
windows,"Mozilla/5.0 (Windows NT 10.3; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/54.0.2606.367 Safari/602.7 Edge/16.32029"
mobile,"Mozilla/5.0 (Linux; U; Android 6.0.1; Nexus 6P Build/MDB08I) AppleWebKit/536.50 (KHTML, like Gecko) Chrome/55.0.1185.386 Mobile Safari/533.9"
chrome,"Mozilla/5.0 (Linux; U; Linux i586 x86_64) AppleWebKit/537.47 (KHTML, like Gecko) Chrome/48.0.1185.181 Safari/535"
android,"Mozilla/5.0 (Linux; U; Android 5.1.1; SAMSUNG SM-G93508 Build/LMY47X) AppleWebKit/533.43 (KHTML, like Gecko) Chrome/50.0.3556.180 Mobile Safari/534.1"
chrome,"Mozilla/5.0 (Linux; Linux i653 x86_64) AppleWebKit/535.36 (KHTML, like Gecko) Chrome/47.0.1148.203 Safari/602"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.3;; en-US) Gecko/20100101 Firefox/62.6
linux,Mozilla/5.0 (Linux x86_64) Gecko/20130401 Firefox/69.7
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.2; Win64; x64; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_3; like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2798.183 Mobile Safari/533.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_8_1; like Mac OS X) AppleWebKit/601.3 (KHTML, like Gecko) Chrome/47.0.3496.219 Mobile Safari/533.5"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_0_5; en-US) Gecko/20100101 Firefox/59.0
